timestamp,id,payload
1762188956.302,115,0000000000000000
1762188956.302,5F0,00AE054A054A217E
1762188956.302,116,0000000000000000
1762188956.302,117,119D201861940000
1762188956.303,118,000000000000
1762188956.303,119,000000000000
1762188956.303,5F0,00AF04CC04CC2002
1762188956.303,5F2,03E8019002BC0737
1762188956.303,5F4,000003E803E803E8
1762188956.303,5F6,0062006400640000
1762188956.303,5F7,0000FFBDFF45FEDE
1762188956.303,61B,4B02000000000000
1762188956.303,624,0000000000970000
1762188956.303,116,0000000000000000
1762188956.304,117,119D211861930000
1762188956.304,118,000000000000
1762188956.304,119,000000000000
1762188956.304,5F3,FFAA008E00640000
1762188956.304,5F5,00690000006403E8
1762188956.304,115,0000000000000000
1762188956.304,5F0,00AF048404841E53
1762188956.304,116,0000000000000000
1762188956.305,117,119D211861930000
1762188956.305,118,000000000000
1762188956.305,119,000000000000
1762188956.305,5F0,00AF045B045B1C23
1762188956.305,116,0000000000000000
1762188956.305,117,119D211861930000
1762188956.305,118,000000000000
1762188956.305,119,000000000000
1762188956.305,115,0000000000000000
1762188956.306,5F0,00AF0443044319AC
1762188956.306,116,0000000000000000
1762188956.306,117,119D211861930000
1762188956.306,118,000000000000
1762188956.306,119,000000000000
1762188956.306,5F0,00AF0FAD0FAD17F5
1762188956.306,116,0000000000000000
1762188956.306,117,119D211861930000
1762188956.307,118,000000000000
1762188956.307,119,000000000000
1762188956.307,115,0000000000000000
1762188956.307,5F0,00AF0E480E481AE3
1762188956.307,116,0000000000000000
1762188956.307,117,119D211861930000
1762188956.307,118,000000000000
1762188956.307,119,000000000000
1762188956.307,5F3,03DE009000640000
1762188956.308,5F5,00680000006403E8
1762188956.308,5F0,00AF132713272002
1762188956.308,115,0000000000000000
1762188956.308,116,0000000000000000
1762188956.308,117,119D211861930000
1762188956.308,118,000000000000
1762188956.308,119,000000000000
1762188956.308,5F0,00AF12D112D121F1
1762188956.308,115,0000000000000000
1762188956.309,5F0,00AF130113012210
1762188956.309,116,0000000000000000
1762188956.309,117,119D211861930000
1762188956.309,118,000000000000
1762188956.309,119,000000000000
1762188956.309,5F0,00AF0F2A0F2A21E0
